release_year,artist_name,release_name,release_genres,lat,lon
1941,Harry Roy,Potato Pete - Fox-Trot,jazz; pop,51.5707,-0.069
1941,Сергей Сергеевич Прокофьев,Peter and the Wolf,classical,49.5092,36.5696
1946,Engelbert Humperdinck,Hansel and Gretel,opera; spoken word; classical,50.7928,7.2071
1940,Bill Gaither,Love Crying Blues / Money Kills Love,blues,37.5726,-85.1551
1941,Bill Gaither,Moonshine by the Keg / You Done Ranked Yourself With Me,jazz; blues,37.5726,-85.1551
1941,Bill Gaither,Worried Life Blues / Creole Queen,blues,37.5726,-85.1551
1944,The Ink Spots,A Lonely Way to Spend an Evening / I'll Get By,pop,39.7683,-86.1584
1949,Camille Saint‐Saëns,Symphony no. 3 in C Minor,classical,48.8535,2.3484
1940,Lead Belly,The Midnight Special,delta blues; blues,32.6876,-93.961
1947,Sister Rosetta Tharpe,Didn't It Rain / Stretch Out,jazz; blues; gospel,35.0035,-91.2502
1948,Lil’ Son Jackson,Roberta Blues / Freedom Train Blues,texas blues; blues,32.3513,-95.3011
1947,The Golden Gate Quartet,Shadrack / Atom and Evil,gospel,36.8494,-76.29
1945,Bing Crosby,Symphony / Beautiful Love,pop,47.2455,-122.4383
1945,Johnnie Johnston,Laura / There Must Be a Way,jazz; pop,38.6254,-90.19
1940,Dick Jurgens,I Won't Be Home Anymore When You Call / Cecilia,jazz; pop; big band,38.5811,-121.4939
1943,Glen Gray,"Don't Do It, Darling / Don't Get Around Much Anymore",jazz; pop; swing,40.7961,-89.1973
1945,Bing Crosby,Just a Prayer Away / My Mother’s Waltz,jazz/swing; pop,47.2455,-122.4383
1942,Charlie Spivak,This Is No Laughing Matter / When I See An Elephant Fly,pop,50.45,30.5241
1949,Bing Crosby,St. Valentine's Day,pop; ballad,47.2455,-122.4383
1945,Johnny Long,My Dreams Are Getting Better All The Time / Candy,pop,35.673,-79.0393
1944,Andy Russell,"Bésame Mucho (Kiss Me Much) / You’re the Dream, I’m the Dreamer",pop,34.0537,-118.2428
1949,Nat King Cole,Who Do You Know in Heaven / The Trouble With Me Is You,jazz; pop,32.3777,-86.3091
