release_mbid,artist_name,release_name,release_year,release_genres
8c64bcf7-d73f-37c1-8a04-9b2f80a6d30f,Electric Light Orchestra,Eldorado: A Symphony by the Electric Light Orchestra,1974,symphonic rock; progressive; album rock; classic rock; progressive rock; art rock; rock; symphonic prog; pop; progressive pop; pop rock
e4f25e55-94d2-3037-a826-b3610490ea2d,Electric Light Orchestra,Discovery,1979,disco; art rock; rock; symphonic rock; album rock; progressive pop; pop rock
39b22944-7503-3937-8bba-09b17281cc6a,Bruce Springsteen,Born to Run,1975,70s; lush; jersey shore sound; heartland rock; rock and roll; progressive; album rock; rock; singer-songwriter; piano rock; folk rock; brill building; optimistic; singer/songwriter; romantic; 1975; pop rock
5e8f11c2-e08c-3e36-a3e6-d6954b1bf88f,The Alan Parsons Project,Eve,1979,progressive rock; rock; pop; pop rock
4e6f2a81-ec6d-378c-a824-0cd0538bbb21,Peter Gabriel,Peter Gabriel,1977,progressive rock; art rock; rock; car on cover; contemporary pop/rock; pop; album rock; pop rock
235c59c8-8015-3f5e-b422-d759e9c00a80,Ijahman Levi,Haile I Hymn (Chapter One),1978,passionate; warm; roots reggae; male vocalist; conscious; ethereal; peaceful; rhythmic; religious; melodic; spiritual; uplifting; reggae
82ef108c-b246-39bc-8f99-65deac6c692b,Electric Light Orchestra,Face the Music,1975,progressive rock; art rock; rock; symphonic rock; pop rock
89bc97c8-921a-3758-8481-3b39c564e297,King Crimson,Red,1974,hard rock; jazz rock; progressive rock; art rock; rock; free improvisation
04e222d9-ffaa-3a32-b125-6c9ee481bf52,Poco,Legend,1978,pop; rock; country rock; contemporary pop/rock
dd60ed86-173d-3cb9-935b-0e0f3beb3d86,Bee Gees,Life in a Tin Can,1973,soft rock; rock; country rock; pop; pop rock
5d392cd0-9e18-3196-95d5-4e525c2d9c0f,Etta James,Deep in the Night,1978,r&b; blues; soul; funk soul
e3fb6403-71d2-3815-b85a-4f4edb18a556,Electric Light Orchestra,A New World Record,1976,symphonic rock; progressive; album rock; classic rock; progressive rock; art rock; rock; contemporary pop/rock; symphonic prog; pop; progressive pop; pop rock
